y,x,street_count,highway,ref,geometry,avg_minutes,15_minutes
51.2459515,6.7668025,1,,,POINT (6.7668025 51.2459515),6.666666666666667,True
51.1988572,6.7405995,1,,,POINT (6.7405995 51.1988572),38.666666666666664,False
51.2195324,6.8159145,3,,,POINT (6.8159145 51.2195324),31.0,False
51.2179214,6.7483366,3,,,POINT (6.7483366 51.2179214),44.333333333333336,False
51.211252,6.7830624,3,,,POINT (6.7830624 51.211252),1.3333333333333333,True
51.2043154,6.815366,3,,,POINT (6.815366 51.2043154),35.333333333333336,False
51.1996694,6.7933053,1,,,POINT (6.7933053 51.1996694),4.333333333333333,True
51.2394256,6.7716437,4,,,POINT (6.7716437 51.2394256),1.6666666666666667,True
51.2094576,6.7868669,3,,,POINT (6.7868669 51.2094576),0.0,True
51.2435781,6.8017958,3,crossing,,POINT (6.8017958 51.2435781),11.333333333333334,True
51.2296567,6.7764395,3,,,POINT (6.7764395 51.2296567),1.3333333333333333,True
51.2245565,6.8110929,3,,,POINT (6.8110929 51.2245565),22.666666666666668,False
51.2005285,6.7984654,3,,,POINT (6.7984654 51.2005285),12.666666666666666,True
51.2197502,6.7935845,1,,,POINT (6.7935845 51.2197502),4.333333333333333,True
51.2296467,6.742177,1,,,POINT (6.742177 51.2296467),30.333333333333332,False
51.2343196,6.7910893,3,,,POINT (6.7910893 51.2343196),2.6666666666666665,True
51.2065735,6.7952044,4,,,POINT (6.7952044 51.2065735),7.333333333333333,True
51.211321,6.7498046,3,,,POINT (6.7498046 51.211321),21.666666666666668,False
51.2443831,6.7579931,3,,,POINT (6.7579931 51.2443831),35.666666666666664,False
51.228029,6.787901,1,,,POINT (6.787901 51.228029),0.3333333333333333,True
51.2014107,6.7881788,1,,,POINT (6.7881788 51.2014107),1.6666666666666667,True
51.203643,6.7427868,3,,,POINT (6.7427868 51.203643),32.333333333333336,False
51.2247382,6.7960339,3,traffic_signals,,POINT (6.7960339 51.2247382),7.333333333333333,True
51.2434886,6.8025024,3,,,POINT (6.8025024 51.2434886),12.0,True
51.2319947,6.7344906,3,,,POINT (6.7344906 51.2319947),35.666666666666664,False
51.199303,6.7821291,3,,,POINT (6.7821291 51.199303),0.6666666666666666,True
51.2356205,6.7446361,1,,,POINT (6.7446361 51.2356205),33.666666666666664,False
51.2123594,6.7592052,3,,,POINT (6.7592052 51.2123594),13.0,True
51.2117768,6.7950188,3,,,POINT (6.7950188 51.2117768),6.333333333333333,True
51.2075788,6.7767277,4,,,POINT (6.7767277 51.2075788),1.6666666666666667,True
51.1991292,6.8105061,1,,,POINT (6.8105061 51.1991292),26.0,False
51.2196298,6.79383,1,,,POINT (6.79383 51.2196298),5.333333333333333,True
51.2130553,6.8108998,3,,,POINT (6.8108998 51.2130553),23.333333333333332,False
51.2206887,6.7754957,3,,,POINT (6.7754957 51.2206887),0.3333333333333333,True
51.2021398,6.7724206,3,,,POINT (6.7724206 51.2021398),1.6666666666666667,True
51.2062855,6.768314,1,,,POINT (6.768314 51.2062855),7.333333333333333,True
51.2289752,6.7790554,3,,,POINT (6.7790554 51.2289752),1.3333333333333333,True
51.2168172,6.7782205,1,,,POINT (6.7782205 51.2168172),2.6666666666666665,True
51.2142046,6.8092623,3,,,POINT (6.8092623 51.2142046),23.0,False
51.2195338,6.8035338,3,,,POINT (6.8035338 51.2195338),16.333333333333332,False
51.231517,6.7476131,1,,,POINT (6.7476131 51.231517),22.333333333333332,False
51.2163635,6.7648802,3,,,POINT (6.7648802 51.2163635),6.666666666666667,True
51.213788,6.7752697,3,,,POINT (6.7752697 51.213788),1.0,True
51.2343723,6.762695,4,,,POINT (6.762695 51.2343723),13.666666666666666,True
51.2228917,6.8105864,4,,,POINT (6.8105864 51.2228917),22.333333333333332,False
51.2279134,6.7924828,3,,,POINT (6.7924828 51.2279134),3.6666666666666665,True
51.2136229,6.7986935,1,,,POINT (6.7986935 51.2136229),10.0,True
51.2383244,6.7615909,3,,,POINT (6.7615909 51.2383244),22.0,False
51.2198732,6.7939774,1,,,POINT (6.7939774 51.2198732),5.333333333333333,True
51.2201051,6.7727781,3,,,POINT (6.7727781 51.2201051),1.0,True
51.2319494,6.774423,3,,,POINT (6.774423 51.2319494),1.3333333333333333,True
51.1988647,6.8085563,3,,,POINT (6.8085563 51.1988647),24.666666666666668,False
51.2405239,6.7337092,3,,,POINT (6.7337092 51.2405239),46.0,False
51.2376245,6.8167603,3,,,POINT (6.8167603 51.2376245),31.333333333333332,False
51.2004417,6.808403,3,,,POINT (6.808403 51.2004417),22.666666666666668,False
51.2432854,6.8021324,3,,,POINT (6.8021324 51.2432854),11.333333333333334,True
51.2320419,6.7955983,3,,,POINT (6.7955983 51.2320419),7.0,True
51.2438614,6.7867004,3,,,POINT (6.7867004 51.2438614),0.0,True
51.2261993,6.7507674,3,,,POINT (6.7507674 51.2261993),28.666666666666668,False
51.2158233,6.8011045,1,,,POINT (6.8011045 51.2158233),13.0,True
51.2344866,6.8039371,3,,,POINT (6.8039371 51.2344866),17.666666666666668,False
51.2275216,6.8143444,1,,,POINT (6.8143444 51.2275216),27.666666666666668,False
51.2154707,6.782447,3,,,POINT (6.782447 51.2154707),0.0,True
51.2310195,6.7961791,3,,,POINT (6.7961791 51.2310195),8.0,True
51.2351912,6.7425747,3,crossing,,POINT (6.7425747 51.2351912),33.0,False
51.2188222,6.7815643,3,crossing,,POINT (6.7815643 51.2188222),0.0,True
