index,osmid,y,x,street_count,highway,ref,geometry,avg_minutes,15_minutes
905,253281134,51.2311025,6.7597831,3,,,POINT (6.7597831 51.2311025),12.0,True
16170,8582372466,51.219927,6.7931697,1,,,POINT (6.7931697 51.219927),4.666666666666667,True
8617,2285395602,51.2008263,6.753704,3,,,POINT (6.753704 51.2008263),16.666666666666668,False
5875,1556017434,51.2000929,6.8122982,3,,,POINT (6.8122982 51.2000929),26.333333333333332,False
8862,2366171845,51.2522176,6.7845522,1,,,POINT (6.7845522 51.2522176),1.0,True
2968,457019214,51.2398269,6.7478527,3,,,POINT (6.7478527 51.2398269),33.0,False
13998,5740662243,51.2445929,6.7561597,4,,,POINT (6.7561597 51.2445929),34.666666666666664,False
308,54093014,51.2475432,6.7641767,3,,,POINT (6.7641767 51.2475432),8.0,True
2384,319214395,51.2207851,6.8046355,1,,,POINT (6.8046355 51.2207851),21.333333333333332,False
15237,7703440777,51.23368,6.7340825,3,,,POINT (6.7340825 51.23368),40.666666666666664,False
9550,2865607854,51.2188204,6.8153961,3,,,POINT (6.8153961 51.2188204),31.0,False
12147,4029765465,51.2319947,6.7344906,3,,,POINT (6.7344906 51.2319947),35.666666666666664,False
10237,3217878265,51.2013214,6.8086108,3,,,POINT (6.8086108 51.2013214),21.333333333333332,False
12657,4381200786,51.228509,6.7837679,3,,,POINT (6.7837679 51.228509),0.6666666666666666,True
8801,2328384364,51.2113913,6.792525,4,crossing,,POINT (6.792525 51.2113913),2.3333333333333335,True
13016,4844252403,51.2435878,6.7942299,3,,,POINT (6.7942299 51.2435878),4.333333333333333,True
4835,1250252584,51.2068323,6.7829069,3,crossing,,POINT (6.7829069 51.2068323),1.3333333333333333,True
9785,3095091565,51.2408942,6.7777956,4,crossing,,POINT (6.7777956 51.2408942),1.6666666666666667,True
5920,1556098439,51.2000181,6.8125354,1,,,POINT (6.8125354 51.2000181),27.333333333333332,False
2746,364351119,51.207962,6.7903097,3,,,POINT (6.7903097 51.207962),0.3333333333333333,True
5725,1538054350,51.233125,6.7375796,3,,,POINT (6.7375796 51.233125),35.0,False
6930,1598352213,51.2479429,6.8048984,1,,,POINT (6.8048984 51.2479429),18.333333333333332,False
4789,1239644799,51.2301121,6.7626706,3,,,POINT (6.7626706 51.2301121),10.666666666666666,True
2434,322241347,51.2031453,6.7974603,3,,,POINT (6.7974603 51.2031453),9.666666666666666,True
15149,7683910826,51.2129523,6.7461803,1,,,POINT (6.7461803 51.2129523),27.333333333333332,False
7408,1643741429,51.2326685,6.8120227,3,crossing,,POINT (6.8120227 51.2326685),24.0,False
5128,1369719752,51.2120813,6.800405,1,,,POINT (6.800405 51.2120813),13.333333333333334,True
6343,1569093036,51.2181245,6.7820483,3,crossing,,POINT (6.7820483 51.2181245),0.3333333333333333,True
16055,8372187953,51.2088124,6.8147128,3,,,POINT (6.8147128 51.2088124),27.0,False
5835,1551463259,51.2316382,6.7575884,3,,,POINT (6.7575884 51.2316382),13.0,True
116,28121093,51.2345682,6.7514922,4,,,POINT (6.7514922 51.2345682),24.333333333333332,False
14358,6501201481,51.22278,6.7450968,4,,,POINT (6.7450968 51.22278),33.666666666666664,False
8465,2205953500,51.2276245,6.8147074,3,,,POINT (6.8147074 51.2276245),27.0,False
14531,6988366324,51.2086676,6.7655122,1,,,POINT (6.7655122 51.2086676),10.333333333333334,True
5275,1377022121,51.2145525,6.7982994,4,,,POINT (6.7982994 51.2145525),12.333333333333334,True
6541,1583793368,51.2224675,6.7949959,4,crossing,,POINT (6.7949959 51.2224675),6.0,True
9634,2935201649,51.2075476,6.7773426,3,,,POINT (6.7773426 51.2075476),2.3333333333333335,True
13554,5377478978,51.2331467,6.8143896,1,,,POINT (6.8143896 51.2331467),27.333333333333332,False
5297,1378772690,51.2188639,6.8020579,4,,,POINT (6.8020579 51.2188639),16.0,False
12596,4339012455,51.208673,6.7762942,4,,,POINT (6.7762942 51.208673),1.0,True
11080,3414790024,51.2198967,6.8087806,3,crossing,,POINT (6.8087806 51.2198967),23.333333333333332,False
2119,283411873,51.2022099,6.8047196,3,,,POINT (6.8047196 51.2022099),16.666666666666668,False
7884,1976861952,51.2164792,6.8193252,3,crossing,,POINT (6.8193252 51.2164792),34.0,False
12035,3837123084,51.2430205,6.8148103,4,crossing,,POINT (6.8148103 51.2430205),24.666666666666668,False
11986,3796196040,51.2438814,6.7983507,3,crossing,,POINT (6.7983507 51.2438814),9.0,True
3551,573252804,51.217137,6.7971159,3,,,POINT (6.7971159 51.217137),7.333333333333333,True
9266,2470508167,51.2053541,6.7800035,3,crossing,,POINT (6.7800035 51.2053541),1.6666666666666667,True
14772,7153786477,51.2440504,6.7376256,1,turning_circle,,POINT (6.7376256 51.2440504),44.666666666666664,False
5748,1546359828,51.2362096,6.7471776,3,,,POINT (6.7471776 51.2362096),32.0,False
15678,7856534070,51.2518155,6.7999021,3,,,POINT (6.7999021 51.2518155),21.666666666666668,False
7382,1637342202,51.2057732,6.7935832,3,,,POINT (6.7935832 51.2057732),3.3333333333333335,True
9679,2940489504,51.2180035,6.7670402,3,,,POINT (6.7670402 51.2180035),6.666666666666667,True
12950,4753631459,51.199481,6.7901052,4,,,POINT (6.7901052 51.199481),0.6666666666666666,True
9271,2470550676,51.2029199,6.7729531,3,,,POINT (6.7729531 51.2029199),2.6666666666666665,True
10985,3409730447,51.2429561,6.7900557,3,crossing,,POINT (6.7900557 51.2429561),0.0,True
5133,1370257840,51.2096291,6.8004136,3,,,POINT (6.8004136 51.2096291),14.0,True
5085,1345718501,51.2038787,6.8148449,3,,,POINT (6.8148449 51.2038787),37.666666666666664,False
13513,5375117574,51.2106455,6.8016112,1,,,POINT (6.8016112 51.2106455),12.0,True
2155,286075102,51.220855,6.7672678,3,,,POINT (6.7672678 51.220855),15.333333333333334,False
9829,3131899111,51.2465197,6.7694178,3,,,POINT (6.7694178 51.2465197),4.0,True
3965,669093996,51.2129034,6.802563,1,,,POINT (6.802563 51.2129034),13.666666666666666,True
10100,3202951300,51.2229955,6.7820223,3,,,POINT (6.7820223 51.2229955),1.0,True
9090,2395955734,51.2475493,6.7761607,1,,,POINT (6.7761607 51.2475493),2.3333333333333335,True
6421,1572159188,51.2313967,6.7404053,4,,,POINT (6.7404053 51.2313967),30.0,False
12020,3813192653,51.2088375,6.7823939,4,,,POINT (6.7823939 51.2088375),0.0,True
4650,1174562745,51.2121265,6.7827941,3,,,POINT (6.7827941 51.2121265),0.6666666666666666,True
9688,2940489535,51.218607,6.7676075,3,,,POINT (6.7676075 51.218607),5.666666666666667,True
10430,3241322947,51.2006717,6.7999822,3,,,POINT (6.7999822 51.2006717),13.333333333333334,True
1642,267768122,51.2039479,6.8014013,4,,,POINT (6.8014013 51.2039479),13.666666666666666,True
16192,8629152083,51.2047691,6.7953034,3,,,POINT (6.7953034 51.2047691),8.0,True
9396,2601630836,51.2272272,6.7800857,4,,,POINT (6.7800857 51.2272272),1.6666666666666667,True
7254,1619231748,51.211156,6.7797129,1,,,POINT (6.7797129 51.211156),1.6666666666666667,True
2360,315911902,51.1984789,6.7703204,3,,,POINT (6.7703204 51.1984789),4.333333333333333,True
5530,1518647888,51.2362838,6.754536,3,,,POINT (6.754536 51.2362838),25.0,False
578,241783100,51.2197798,6.7784825,4,crossing,,POINT (6.7784825 51.2197798),1.3333333333333333,True
3791,626010461,51.2260461,6.8006827,1,,,POINT (6.8006827 51.2260461),13.333333333333334,True
7253,1619231747,51.2114111,6.7807063,3,,,POINT (6.7807063 51.2114111),1.0,True
4962,1345115105,51.2024528,6.817974,1,,,POINT (6.817974 51.2024528),41.333333333333336,False
3398,566702125,51.2161544,6.7929876,3,,,POINT (6.7929876 51.2161544),4.0,True
1848,274223176,51.2011695,6.8009832,3,,,POINT (6.8009832 51.2011695),13.666666666666666,True
3740,597428243,51.2202162,6.77698,3,,,POINT (6.77698 51.2202162),2.0,True
10034,3187549786,51.216642,6.8032488,3,,,POINT (6.8032488 51.216642),14.333333333333334,True
7399,1640698336,51.2263377,6.7486487,4,,,POINT (6.7486487 51.2263377),31.0,False
14809,7184343623,51.2515616,6.7976176,3,,,POINT (6.7976176 51.2515616),21.0,False
13114,5085716150,51.2329804,6.7442567,1,,,POINT (6.7442567 51.2329804),28.333333333333332,False
6737,1587556560,51.2383652,6.8029971,5,,,POINT (6.8029971 51.2383652),15.333333333333334,False
