15_minutes,avg_minutes,geometry,highway,ref,street_count,x,y
True,6.0,POINT (6.7950759 51.2163639),,,3,6.7950759000000005,51.2163639
True,1.3333333333333333,POINT (6.7886697 51.2014292),,,3,6.7886697,51.2014292
True,1.6666666666666667,POINT (6.7756033 51.2223654),,,1,6.775603299999999,51.2223654
True,2.0,POINT (6.7712325 51.2090533),,,3,6.7712325,51.2090533
True,5.0,POINT (6.7714093 51.2502556),,,3,6.771409299999999,51.2502556
True,2.0,POINT (6.7786834 51.2133528),,,3,6.7786834,51.213352799999996
True,1.3333333333333333,POINT (6.7784057 51.2189036),,,3,6.7784057,51.218903600000004
False,16.333333333333332,POINT (6.8054868 51.2173928),,,3,6.805486800000001,51.2173928
True,1.3333333333333333,POINT (6.7900247 51.228101),,,1,6.7900247,51.228101
True,7.333333333333332,POINT (6.7653198 51.2161661),,,1,6.7653198,51.2161661
False,15.666666666666664,POINT (6.802155 51.2189003),,,4,6.802155,51.218900299999994
False,26.33333333333333,POINT (6.8119745 51.2195268),crossing,,3,6.8119745,51.2195268
True,3.333333333333333,POINT (6.7692006 51.2468718),,,4,6.7692006,51.2468718
True,3.0,POINT (6.7790625 51.2164753),,,1,6.7790625,51.2164753
True,1.0,POINT (6.7842412 51.2285573),,,3,6.784241199999999,51.2285573
True,7.0,POINT (6.7943969 51.2364088),,,1,6.7943969,51.2364088
False,32.333333333333336,POINT (6.8192351 51.2207447),,,3,6.819235099999999,51.220744700000004
True,12.666666666666664,POINT (6.7983533 51.2005181),,,4,6.7983533,51.200518100000004
False,21.33333333333333,POINT (6.8075804 51.2415002),,,3,6.8075804,51.241500200000004
False,28.66666666666667,POINT (6.7430881 51.204736),,,3,6.7430881,51.204736
True,2.333333333333333,POINT (6.7916736 51.2482603),,,3,6.791673599999999,51.24826029999999
True,0.3333333333333333,POINT (6.7810741 51.2398159),,,1,6.7810741,51.239815899999996
True,3.333333333333333,POINT (6.7702833 51.2081453),,,3,6.7702833,51.2081453
False,27.0,POINT (6.7556687 51.2387335),,,3,6.7556687,51.2387335
False,45.0,POINT (6.7372536 51.2425021),,,3,6.737253599999999,51.2425021
True,1.6666666666666667,POINT (6.7730253 51.201989),,,3,6.7730253,51.201989000000005
True,2.6666666666666665,POINT (6.7920248 51.2198967),,,3,6.792024799999999,51.2198967
True,10.333333333333334,POINT (6.8007325 51.2109857),,,3,6.8007325,51.2109857
False,46.33333333333334,POINT (6.734168 51.2465551),,,3,6.7341679999999995,51.2465551
False,40.0,POINT (6.7379091 51.2407741),,,3,6.7379091,51.2407741
